Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1973,16.2,21.1,12.6,-,12.0,76,0,3,90,0,0
1974,16.5,21.6,12.5,-,11.6,56,1,5,84,0,1
1975,15.9,21.3,12.0,-,11.2,57,1,9,88,0,1
1976,17.3,22.9,13.0,-,13.2,50,1,7,79,0,0
1977,16.9,22.2,12.9,529.15,11.7,50,0,6,83,0,1
1978,17.0,22.3,13.1,629.63,11.5,69,1,8,74,0,0
1979,16.8,22.3,12.6,345.98,12.4,56,2,3,60,0,2
1980,16.9,22.2,12.9,692.68,12.4,54,0,5,93,0,1
1981,17.5,22.8,13.7,316.22,12.2,53,0,5,86,1,2
1982,16.8,21.9,12.8,608.58,12.7,72,0,6,59,0,1
1983,17.3,21.9,13.4,1018.03,12.9,100,0,11,87,0,2
1984,17.6,22.7,13.5,249.70,13.1,43,0,3,58,0,0
1985,16.5,21.6,12.6,258.07,12.5,48,0,3,90,0,0
1986,17.1,22.5,12.9,418.35,12.6,46,0,3,143,0,1
1987,16.6,21.7,12.5,201.39,12.9,64,0,6,140,0,0
1988,16.7,22.0,12.6,256.53,13.2,42,0,5,122,0,0
1989,16.8,22.3,12.6,146.80,12.3,40,0,1,137,0,0
1990,17.1,22.6,12.9,147.06,13.3,35,0,5,95,0,2
1991,16.4,21.6,12.6,306.85,11.6,53,0,6,138,0,1
1992,17.8,22.8,13.8,436.84,12.7,66,0,8,120,0,0
1993,17.3,22.5,13.3,532.10,13.4,53,0,9,133,0,0
1994,17.0,22.5,12.8,269.49,11.8,44,0,3,110,0,0
1995,16.8,21.9,13.0,610.10,10.9,59,0,6,193,0,0
1996,17.4,22.2,13.5,429.48,13.0,54,0,4,115,0,0
1997,17.9,22.2,14.4,340.09,12.8,43,1,4,12,0,0
1998,16.6,20.8,12.9,654.26,12.6,71,0,4,16,0,0
1999,16.6,21.3,13.1,-,12.0,36,0,3,28,0,0
2000,16.9,21.6,13.1,280.07,12.9,38,0,1,28,0,0
2001,16.2,20.7,12.6,430.20,13.5,51,0,2,45,0,0
2002,-,-,-,-,-,-,-,-,-,-,-
2003,17.0,21.9,13.1,197.57,11.9,43,0,1,23,0,0
2004,17.0,22.0,13.1,340.32,12.1,43,0,1,23,0,0
2005,-,-,-,-,-,-,-,-,-,-,-
2006,17.2,22.3,13.4,262.84,11.9,56,0,2,36,0,0
2007,16.7,21.4,13.2,143.24,11.0,40,0,2,20,0,0
2008,17.2,22.1,13.6,310.13,11.1,41,0,2,63,0,0
2009,16.7,21.6,13.1,191.53,10.8,38,0,1,61,0,0
2010,16.3,20.9,12.8,586.99,11.5,55,0,6,36,0,0
2011,16.3,21.0,12.5,275.81,10.9,27,0,1,25,0,0
2012,17.1,21.9,13.6,232.38,11.0,33,0,2,68,0,0
2013,17.2,22.2,13.4,106.17,10.8,31,0,1,129,0,0
2014,18.5,23.3,14.7,237.49,11.2,26,0,1,118,0,0
2015,18.3,23.4,14.2,153.14,11.4,46,0,4,36,0,0
2016,17.9,22.8,14.0,231.88,12.0,42,0,3,36,0,0
2017,17.9,23.1,14.0,320.51,12.1,45,0,2,46,0,0
2018,18.0,23.0,14.2,208.79,12.0,37,0,2,44,0,0
2019,17.4,22.3,13.5,462.49,12.3,58,0,6,27,0,0
2020,17.7,23.1,13.7,224.52,11.4,33,0,2,60,0,0
2021,16.6,21.7,12.9,316.21,11.8,40,0,4,37,0,0
2022,-,-,-,-,-,-,-,-,-,-,-
